x	y
-4.467000	0.803128
-4.466000	0.813644
-4.465000	0.823898
-4.464000	0.833887
-4.463000	0.843607
-4.462000	0.853057
-4.461000	0.862233
-4.460000	0.871133
-4.459000	0.879753
-4.458000	0.888092
-4.457000	0.896146
-4.456000	0.903913
-4.455000	0.911392
-4.454000	0.918580
-4.453000	0.925475
-4.452000	0.932074
-4.451000	0.938376
-4.450000	0.944380
-4.449000	0.950083
-4.448000	0.955484
-4.447000	0.960582
-4.446000	0.965374
-4.445000	0.969860
-4.444000	0.974038
-4.443000	0.977908
-4.442000	0.981468
-4.441000	0.984717
-4.440000	0.987655
-4.439000	0.990281
-4.438000	0.992594
-4.437000	0.994594
-4.436000	0.996280
-4.435000	0.997652
-4.434000	0.998710
-4.433000	0.999453
-4.432000	0.999882
-4.431000	0.999997
-4.430000	0.999798
-4.429000	0.999285
-4.428000	0.998458
-4.427000	0.997318
-4.426000	0.995866
-4.425000	0.994103
-4.424000	0.992028
-4.423000	0.989643
-4.422000	0.986949
-4.421000	0.983946
-4.420000	0.980637
-4.419000	0.977022
-4.418000	0.973103
-4.417000	0.968880
-4.416000	0.964356
-4.415000	0.959533
-4.414000	0.954411
-4.413000	0.948993
-4.412000	0.943280
-4.411000	0.937275
-4.410000	0.930980
-4.409000	0.924396
-4.408000	0.917527
-4.407000	0.910374
-4.406000	0.902939
-4.405000	0.895226
-4.404000	0.887237
-4.403000	0.878974
-4.402000	0.870440
-4.401000	0.861639
-4.400000	0.852573
-4.399000	0.843244
-4.398000	0.833657
-4.397000	0.823814
-4.396000	0.813718
-4.395000	0.803373
-4.394000	0.792782
-4.393000	0.781949
-4.392000	0.770877
-4.391000	0.759569
-4.390000	0.748030
-4.389000	0.736262
-4.388000	0.724271
-4.387000	0.712059
-4.386000	0.699630
-4.385000	0.686990
-4.384000	0.674140
-4.383000	0.661087
-4.382000	0.647833
-4.381000	0.634383
-4.380000	0.620742
-4.379000	0.606913
-4.378000	0.592901
-4.377000	0.578710
-4.376000	0.564345
-4.375000	0.549811
-4.374000	0.535112
-4.373000	0.520252
-4.372000	0.505237
-4.371000	0.490070
-4.370000	0.474757
-4.369000	0.459303
-4.368000	0.443712
-4.367000	0.427989
-4.366000	0.412139
-4.365000	0.396167
-4.364000	0.380078
-4.363000	0.363876
-4.362000	0.347568
-4.361000	0.331158
-4.360000	0.314650
-4.359000	0.298051
-4.358000	0.281365
-4.357000	0.264597
-4.356000	0.247753
-4.355000	0.230837
-4.354000	0.213856
-4.353000	0.196813
-4.352000	0.179714
-4.351000	0.162565
-4.350000	0.145371
-4.349000	0.128137
-4.348000	0.110868
-4.347000	0.093569
-4.346000	0.076246
-4.345000	0.058904
-4.344000	0.041548
-4.343000	0.024184
-4.342000	0.006816
-4.341000	-0.010550
-4.340000	-0.027908
-4.339000	-0.045254
-4.338000	-0.062583
-4.337000	-0.079889
-4.336000	-0.097166
-4.335000	-0.114411
-4.334000	-0.131617
-4.333000	-0.148779
-4.332000	-0.165893
-4.331000	-0.182954
-4.330000	-0.199955
-4.329000	-0.216892
-4.328000	-0.233761
-4.327000	-0.250555
-4.326000	-0.267271
-4.325000	-0.283903
-4.324000	-0.300446
-4.323000	-0.316895
-4.322000	-0.333246
-4.321000	-0.349493
-4.320000	-0.365632
-4.319000	-0.381658
-4.318000	-0.397567
-4.317000	-0.413353
-4.316000	-0.429013
-4.315000	-0.444541
-4.314000	-0.459933
-4.313000	-0.475185
-4.312000	-0.490291
-4.311000	-0.505248
-4.310000	-0.520052
-4.309000	-0.534698
-4.308000	-0.549181
-4.307000	-0.563498
-4.306000	-0.577644
-4.305000	-0.591616
-4.304000	-0.605409
-4.303000	-0.619020
-4.302000	-0.632444
-4.301000	-0.645677
-4.300000	-0.658717
-4.299000	-0.671558
-4.298000	-0.684198
-4.297000	-0.696633
-4.296000	-0.708859
-4.295000	-0.720874
-4.294000	-0.732672
-4.293000	-0.744252
-4.292000	-0.755609
-4.291000	-0.766742
-4.290000	-0.777645
-4.289000	-0.788318
-4.288000	-0.798755
-4.287000	-0.808956
-4.286000	-0.818916
-4.285000	-0.828633
-4.284000	-0.838105
-4.283000	-0.847328
-4.282000	-0.856301
-4.281000	-0.865020
-4.280000	-0.873483
-4.279000	-0.881689
-4.278000	-0.889634
-4.277000	-0.897317
-4.276000	-0.904736
-4.275000	-0.911888
-4.274000	-0.918772
-4.273000	-0.925386
-4.272000	-0.931729
-4.271000	-0.937797
-4.270000	-0.943591
-4.269000	-0.949107
-4.268000	-0.954346
-4.267000	-0.959306
-4.266000	-0.963985
-4.265000	-0.968382
-4.264000	-0.972497
-4.263000	-0.976327
-4.262000	-0.979873
-4.261000	-0.983133
-4.260000	-0.986107
-4.259000	-0.988794
-4.258000	-0.991193
-4.257000	-0.993305
-4.256000	-0.995128
-4.255000	-0.996662
-4.254000	-0.997907
-4.253000	-0.998862
-4.252000	-0.999529
-4.251000	-0.999906
-4.250000	-0.999995
-4.249000	-0.999794
-4.248000	-0.999304
-4.247000	-0.998526
-4.246000	-0.997460
-4.245000	-0.996107
-4.244000	-0.994467
-4.243000	-0.992541
-4.242000	-0.990329
-4.241000	-0.987833
-4.240000	-0.985053
-4.239000	-0.981990
-4.238000	-0.978646
-4.237000	-0.975022
-4.236000	-0.971118
-4.235000	-0.966937
-4.234000	-0.962479
-4.233000	-0.957746
-4.232000	-0.952739
-4.231000	-0.947461
-4.230000	-0.941913
-4.229000	-0.936096
-4.228000	-0.930013
-4.227000	-0.923666
-4.226000	-0.917056
-4.225000	-0.910185
-4.224000	-0.903056
-4.223000	-0.895671
-4.222000	-0.888033
-4.221000	-0.880143
-4.220000	-0.872004
-4.219000	-0.863618
-4.218000	-0.854989
-4.217000	-0.846118
-4.216000	-0.837008
-4.215000	-0.827663
-4.214000	-0.818085
-4.213000	-0.808276
-4.212000	-0.798241
-4.211000	-0.787981
-4.210000	-0.777500
-4.209000	-0.766801
-4.208000	-0.755888
-4.207000	-0.744762
-4.206000	-0.733429
-4.205000	-0.721891
-4.204000	-0.710151
-4.203000	-0.698213
-4.202000	-0.686081
-4.201000	-0.673758
-4.200000	-0.661248
-4.199000	-0.648554
-4.198000	-0.635680
-4.197000	-0.622630
-4.196000	-0.609407
-4.195000	-0.596016
-4.194000	-0.582461
-4.193000	-0.568745
-4.192000	-0.554872
-4.191000	-0.540846
-4.190000	-0.526672
-4.189000	-0.512353
-4.188000	-0.497894
-4.187000	-0.483299
-4.186000	-0.468571
-4.185000	-0.453716
-4.184000	-0.438737
-4.183000	-0.423639
-4.182000	-0.408426
-4.181000	-0.393102
-4.180000	-0.377672
-4.179000	-0.362140
-4.178000	-0.346511
-4.177000	-0.330788
-4.176000	-0.314977
-4.175000	-0.299082
